experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=193,8,3665148527,64,128,193,4.0,,gaussian,1000,874,126,0.874,0.126,18.713,24.895,24.695840044742667,2.8250011382624507e-05,0.006266958007472567,0.002300499996636063,6.2669580074725674e-06,2.3004999966360627e-06,,,,8320
q_sweep,q=193,9,846807299,64,128,193,4.0,,gaussian,1000,945,55,0.945,0.055,14.636,21.062,21.295328008626562,2.4082997697405517e-05,0.00641320800059475,0.0022948749974602833,6.41320800059475e-06,2.2948749974602833e-06,,,,8320
q_sweep,q=193,10,4160395915,64,128,193,4.0,,gaussian,1000,937,63,0.937,0.063,-13.161,20.699,22.22874706761936,2.3999993572942913e-05,0.0065631659963401034,0.0023572079953737557,6.563165996340103e-06,2.3572079953737558e-06,,,,8320
q_sweep,q=193,11,776501011,64,128,193,4.0,,gaussian,1000,753,247,0.753,0.247,34.16,35.726,22.77197758129414,2.3707994841970503e-05,0.006609541000216268,0.0023301670007640496,6.609541000216268e-06,2.3301670007640494e-06,,,,8320
q_sweep,q=193,12,3184605004,64,128,193,4.0,,gaussian,1000,963,37,0.963,0.037,-1.327,18.381,23.02812118617942,2.579099964350462e-05,0.006612333992961794,0.002370999995036982,6.612333992961794e-06,2.370999995036982e-06,,,,8320
q_sweep,q=193,13,3630944473,64,128,193,4.0,,gaussian,1000,741,259,0.741,0.259,-32.141,34.437,23.95564634886715,2.5917004677467048e-05,0.006595541010028683,0.002371333001065068,6.595541010028682e-06,2.371333001065068e-06,,,,8320
q_sweep,q=193,14,2804263701,64,128,193,4.0,,gaussian,1000,972,28,0.972,0.028,8.859,18.571,21.371098306892016,2.5792003725655377e-05,0.006612750003114343,0.0023742500052321702,6.612750003114342e-06,2.37425000523217e-06,,,,8320
q_sweep,q=193,15,374697641,64,128,193,4.0,,gaussian,1000,973,27,0.973,0.027,5.365,18.181,22.20736233644018,2.579099964350462e-05,0.006608084004255943,0.0023650000075576827,6.608084004255943e-06,2.3650000075576826e-06,,,,8320
q_sweep,q=193,16,2973286542,64,128,193,4.0,,gaussian,1000,273,727,0.273,0.727,-51.073,60.029,38.31176663196912,2.545899769756943e-05,0.006614458994590677,0.002399332995992154,6.614458994590678e-06,2.399332995992154e-06,,,,8320
q_sweep,q=193,17,2345938748,64,128,193,4.0,,gaussian,1000,800,200,0.8,0.2,27.651,30.581,24.27654319604728,2.5417000870220363e-05,0.006604958005482331,0.002346583001781255,6.6049580054823305e-06,2.346583001781255e-06,,,,8320
q_sweep,q=193,18,4257146351,64,128,193,4.0,,gaussian,1000,941,59,0.941,0.059,0.35,19.436,24.68466797088494,2.5667002773843706e-05,0.0066106250014854595,0.00237800000468269,6.610625001485459e-06,2.37800000468269e-06,,,,8320
q_sweep,q=193,19,873698924,64,128,193,4.0,,gaussian,1000,976,24,0.976,0.024,4.971,18.559,22.246686811165254,2.54580081673339e-05,0.006633541997871362,0.0023791249986970797,6.633541997871361e-06,2.37912499869708e-06,,,,8320
q_sweep,q=193,20,944193712,64,128,193,4.0,,gaussian,1000,866,134,0.866,0.134,23.314,26.678,22.300554224474304,2.5125002139247954e-05,0.006621042004553601,0.002376874996116385,6.621042004553601e-06,2.376874996116385e-06,,,,8320
q_sweep,q=193,21,1293989197,64,128,193,4.0,,gaussian,1000,880,120,0.88,0.12,-19.772,25.684,24.66735686072779,2.562500594649464e-05,0.006618917002924718,0.002376041011302732,6.618917002924718e-06,2.376041011302732e-06,,,,8320
q_sweep,q=193,22,3600124726,64,128,193,4.0,,gaussian,1000,943,57,0.943,0.057,15.488,20.998,20.58172644516158,2.316699828952551e-05,0.006635500001721084,0.002349415997741744,6.635500001721084e-06,2.349415997741744e-06,,,,8320
q_sweep,q=193,23,4196846518,64,128,193,4.0,,gaussian,1000,958,42,0.958,0.042,10.093,19.351,21.65103041700598,2.5249988539144397e-05,0.006633333003264852,0.002345499990042299,6.633333003264852e-06,2.345499990042299e-06,,,,8320
q_sweep,q=193,24,4157750202,64,128,193,4.0,,gaussian,1000,955,45,0.955,0.045,-10.285,19.469,22.034411503153205,2.516699896659702e-05,0.006635583995375782,0.002390832989476621,6.635583995375782e-06,2.390832989476621e-06,,,,8320
