experiment,case,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,time_attack_s_mean,time_attack_s_std,time_attack_s_ci95,attack_solution_found_mean,attack_solution_found_std,attack_solution_found_ci95,attack_success_mean,attack_success_std,attack_success_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
noise_sweep,,64,128,257,8.0,,gaussian,30,30000,19026,10974,0.6342,0.21047538966628002,0.07531765089700872,0.36579999999999996,0.21047538966628002,0.07531765089700872,2.977466666666667,30.339705446861192,10.856924160054712,53.24526666666667,17.375989418483897,6.21791795747014,54.533436201369895,15.356890890532998,5.495392828541807,2.792496670736e-05,4.3857466859827344e-06,1.5694192957252963e-06,6.640627799303427e-06,1.2106358984247408e-07,4.332204924552722e-08,2.3781806317856536e-06,6.674906359615242e-08,2.3885845644986926e-08,,,,,,,,,,9360.0,0.0,0.0
noise_sweep,,64,128,257,10.0,,gaussian,30,30000,17411,12589,0.5803666666666667,0.18084828530801883,0.06471572776156359,0.4196333333333334,0.18084828530801883,0.06471572776156359,0.18233333333333365,21.115473170057125,7.556075032188465,57.68573333333334,14.718448210308727,5.266929049554985,63.96378892967489,12.31181046275943,4.405724791931886,2.5218100442240637e-05,1.369760159731306e-06,4.901623780663876e-07,6.746322200342548e-06,2.55449365621088e-08,9.141138150268897e-09,2.4884443696161424e-06,3.060919200489227e-08,1.09533586863497e-08,,,,,,,,,,9360.0,0.0,0.0
noise_sweep,,64,128,257,12.0,,gaussian,30,30000,15561,14439,0.5187,0.12345406796275174,0.04417747085479698,0.48129999999999995,0.12345406796275173,0.04417747085479698,-1.6980666666666664,16.25500490551021,5.8167788012819805,62.54913333333333,10.192582075260397,3.647368652937386,70.34026397535179,9.141301829482849,3.271172848421053,2.491930160128201e-05,9.931377695458795e-07,3.5538978660588825e-07,6.741337600396947e-06,1.5822722445228978e-08,5.662088509538205e-09,2.477316569032458e-06,1.3587494169515201e-08,4.862222343654087e-09,,,,,,,,,,9360.0,0.0,0.0
noise_sweep,,64,128,257,16.0,,gaussian,30,30000,14688,15312,0.4896,0.04650294762626381,0.016640866091518856,0.5104000000000001,0.04650294762626381,0.016640866091518856,-0.0901666666666668,5.721471652277594,2.0474023362381444,64.97856666666665,3.667565618277036,1.3124215012369997,74.5746326668324,3.135604670362023,1.1220617207922092,2.4736065339917936e-05,1.0535793054093701e-06,3.7701851243964665e-07,6.736731966763425e-06,2.2179211427605695e-08,7.936728878962985e-09,2.4781333006103517e-06,1.6545447041376647e-08,5.920712184798479e-09,,,,,,,,,,9360.0,0.0,0.0
noise_sweep,,64,128,257,20.0,,gaussian,30,30000,15024,14976,0.5008,0.017454176459004572,0.006245896830591333,0.49920000000000003,0.01745417645900457,0.006245896830591332,-0.3936666666666668,3.5388514923711436,1.266361742821231,64.31293333333333,1.5095443462625848,0.5401835068015726,74.20565496457198,1.4003023045321494,0.5010917442189015,2.478889946360141e-05,1.0327036538815556e-06,3.695482564799711e-07,6.743169435261127e-06,3.1334986892443003e-08,1.1213081051278228e-08,2.4762041328358465e-06,2.3989245488670214e-08,8.58444124922683e-09,,,,,,,,,,9360.0,0.0,0.0
noise_sweep,,64,128,257,24.0,,gaussian,30,30000,14989,15011,0.49963333333333343,0.01569643784173787,0.005616898144553057,0.5003666666666666,0.01569643784173787,0.005616898144553057,-0.29113333333333336,2.5465297378485743,0.9112639634412225,64.20886666666667,1.2027308218737292,0.4303916971413533,74.11704133010151,1.013649087007679,0.36272966729443346,2.4869333719834687e-05,1.3440692286063796e-06,4.809689964327708e-07,6.591277631135502e-06,8.271097254655702e-08,2.9597741405733998e-08,2.3797096000635067e-06,5.195021167440621e-08,1.8590144496810465e-08,,,,,,,,,,9360.0,0.0,0.0
q_sweep,,64,128,97,4.0,,gaussian,30,30000,15699,14301,0.5233,0.1416116958933587,0.050675094561604773,0.47670000000000007,0.1416116958933587,0.050675094561604773,1.5227333333333335,8.04580858512715,2.8791556255560047,23.51453333333333,4.331961383701967,1.5501724724886414,25.873267325943726,4.031144386579409,1.442526492552047,2.872213275016596e-05,6.041088418009204e-06,2.1617757269722016e-06,6.597329066426027e-06,1.347425251977969e-07,4.8216993397280523e-08,2.3473167015860476e-06,9.609206144145104e-08,3.438610257045468e-08,,,,,,,,,,7280.0,0.0,0.0
q_sweep,,64,128,193,4.0,,gaussian,30,30000,26366,3634,0.8788666666666667,0.13900229056245508,0.04974133085615015,0.12113333333333332,0.13900229056245508,0.04974133085615015,-0.13379999999999975,21.03692659209941,7.527967500247776,24.908466666666673,8.842924870056923,3.1644000247603628,23.21383441593959,3.070287990034716,1.0986884469170841,2.5104201146556685e-05,1.0916128622877825e-06,3.9062864597536194e-07,6.6396611344922955e-06,1.095584635836039e-07,3.9204992688627446e-08,2.362749900203198e-06,2.451585751746684e-08,8.772886943547471e-09,,,,,,,,,,8320.0,0.0,0.0
q_sweep,,64,128,257,4.0,,gaussian,30,30000,29349,651,0.9782999999999998,0.02509725908925322,0.008980938824027226,0.0217,0.025097259089253223,0.008980938824027226,-4.9137,17.01331952476424,6.088138202747545,22.636833333333332,5.659299256508056,2.0251542301416294,22.135819631064592,1.4701461892608687,0.5260850573831122,2.7169432723894715e-05,4.598036821492393e-06,1.6453863450822158e-06,6.751552633068059e-06,1.2219875538626717e-07,4.372826301842144e-08,2.3929262679303065e-06,3.544229775982484e-08,1.2682863368942309e-08,,,,,,,,,,9360.0,0.0,0.0
q_sweep,,64,128,389,4.0,,gaussian,30,30000,29964,36,0.9987999999999999,0.002578425073968405,0.0009226775628882889,0.0012000000000000001,0.0025784250739684035,0.0009226775628882884,-4.273033333333333,21.483032217885647,7.687604348239522,25.086566666666666,8.903226783058752,3.1859787871947494,22.820967204098903,1.7354316900946443,0.6210162546671122,2.5323500449303537e-05,6.218387953444185e-07,2.2252215509009126e-07,6.788994401479917e-06,2.1207222903190068e-08,7.588907252530033e-09,2.4163303993797553e-06,1.6395685895835874e-08,5.867120847133489e-09,,,,,,,,,,9360.0,0.0,0.0
