experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=193,0,4269342738,64,128,193,4.0,,gaussian,400,389,11,0.9725,0.0275,4.6125,18.0775,22.201003471416435,2.6749999960884452e-05,0.0027495420072227716,0.000971500005107373,6.873855018056929e-06,2.4287500127684324e-06,,,,8320
q_sweep,q=193,1,3682048289,64,128,193,4.0,,gaussian,400,381,19,0.9525,0.0475,-7.7225,17.8025,21.448323248576767,2.587500785011798e-05,0.0029765829967800528,0.0009745830029714853,7.441457491950132e-06,2.436457507428713e-06,,,,8320
q_sweep,q=193,2,75940180,64,128,193,4.0,,gaussian,400,358,42,0.895,0.105,19.245,24.7,23.208761093145338,2.7874993975274265e-05,0.0028014160052407533,0.0009946249920176342,7.003540013101883e-06,2.4865624800440854e-06,,,,8320
q_sweep,q=193,3,700274106,64,128,193,4.0,,gaussian,400,368,32,0.92,0.08,16.45,21.65,21.938224957496317,2.8417009161785245e-05,0.0027931670047109947,0.0009770000033313408,6.982917511777487e-06,2.4425000083283523e-06,,,,8320
q_sweep,q=193,4,433948018,64,128,193,4.0,,gaussian,400,324,76,0.81,0.19,-27.67,31.265,24.055201762395882,3.0167007935233414e-05,0.0027504159952513874,0.0009851250069914386,6.876039988128468e-06,2.4628125174785964e-06,,,,8320
q_sweep,q=193,5,1451535517,64,128,193,4.0,,gaussian,400,349,51,0.8725,0.1275,22.17,26.37,22.638072041682594,2.5749992346391082e-05,0.0029190000059315935,0.0009151249978458509,7.297500014828984e-06,2.287812494614627e-06,,,,8320
q_sweep,q=193,6,1728232998,64,128,193,4.0,,gaussian,400,377,23,0.9425,0.0575,10.03,19.98,22.783256834349867,3.079199814237654e-05,0.002732334003667347,0.000942333004786633,6.8308350091683674e-06,2.3558325119665826e-06,,,,8320
q_sweep,q=193,7,2910797335,64,128,193,4.0,,gaussian,400,335,65,0.8375,0.1625,-27.3075,29.4975,21.905880780784756,2.70830059889704e-05,0.0028077089955331758,0.0009953749977285042,7.019272488832939e-06,2.4884374943212606e-06,,,,8320
q_sweep,q=193,8,3150109962,64,128,193,4.0,,gaussian,400,364,36,0.91,0.09,15.44,22.66,23.026984279591005,2.6292007532902062e-05,0.0027714169991668314,0.0009748750017024577,6.9285424979170785e-06,2.437187504256144e-06,,,,8320
q_sweep,q=193,9,2647994102,64,128,193,4.0,,gaussian,400,353,47,0.8825,0.1175,22.0575,26.6875,23.700601046702115,2.5832996470853686e-05,0.0029172500071581453,0.0010002909984905273,7.293125017895363e-06,2.500727496226318e-06,,,,8320
