experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
n_sweep,n=32,0,1820426306,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,3.095,7.005,8.078311878543532,1.3833006960339844e-05,0.0017863749962998554,0.0009753750055097044,4.465937490749639e-06,2.438437513774261e-06,,,,2376
n_sweep,n=32,1,3347238404,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-4.5675,8.5325,9.289843741519803,1.3291995855979621e-05,0.0019222920091124251,0.000980457989498973,4.805730022781063e-06,2.451144973747432e-06,,,,2376
n_sweep,n=32,2,2432596081,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,7.45,8.91,7.708830336886866,1.8625010852701962e-05,0.00176320799801033,0.0009404170123161748,4.408019995025825e-06,2.351042530790437e-06,,,,2376
n_sweep,n=32,3,3419280605,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-3.09,6.235,7.044569888380745,1.4208999346010387e-05,0.0017338750039925799,0.0009474160033278167,4.33468750998145e-06,2.3685400083195416e-06,,,,2376
n_sweep,n=32,4,3334461480,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,3.175,6.965,8.19128303713687,1.370901009067893e-05,0.0018174169963458553,0.0009603329963283613,4.543542490864638e-06,2.4008324908209035e-06,,,,2376
n_sweep,n=32,5,2554453291,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-6.485,7.81,7.10570211212556,1.3083001249469817e-05,0.0017882079991977662,0.0009752080077305436,4.470519997994415e-06,2.438020019326359e-06,,,,2376
n_sweep,n=32,6,1209606652,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,12.9525,13.1125,7.266170713801408,1.1999989510513842e-05,0.0017920840036822483,0.0009599999903002754,4.480210009205621e-06,2.3999999757506884e-06,,,,2376
n_sweep,n=32,7,1754829348,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-3.865,6.91,7.7864206067140795,1.2790987966582179e-05,0.0019743750017369166,0.0009757499938132241,4.935937504342291e-06,2.4393749845330605e-06,,,,2376
n_sweep,n=32,8,2306048599,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-1.76,5.895,7.2545828571378035,1.4499993994832039e-05,0.0018088749930029735,0.0009570830006850883,4.5221874825074335e-06,2.392707501712721e-06,,,,2376
n_sweep,n=32,9,2883110354,32,64,257,2.0,,gaussian,400,400,0,1.0,0.0,-0.535,5.975,7.320022665919412,1.2832999345846474e-05,0.001817166994442232,0.0009877499978756532,4.5429174861055795e-06,2.469374994689133e-06,,,,2376
n_sweep,n=64,0,2204395815,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,-21.155,21.34,10.969585430237471,2.804200630635023e-05,0.0027512919914443046,0.000958333010203205,6.878229978610761e-06,2.395832525508013e-06,,,,9360
n_sweep,n=64,1,2694953807,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,-3.2825,9.5975,11.419883014732482,3.0750001315027475e-05,0.002730666004936211,0.000984457990853116,6.826665012340527e-06,2.46114497713279e-06,,,,9360
n_sweep,n=64,2,3524552480,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,-13.7825,14.3725,10.039280933121422,2.6583991711959243e-05,0.0028804580069845542,0.0009279999940190464,7.201145017461385e-06,2.319999985047616e-06,,,,9360
n_sweep,n=64,3,3608126242,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,-14.065,15.555,12.334550166890923,2.791700535453856e-05,0.0027301249938318506,0.0009646249964134768,6.825312484579627e-06,2.411562491033692e-06,,,,9360
n_sweep,n=64,4,513719586,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,-9.2575,12.4425,12.124301649010158,2.633300027810037e-05,0.0028030420071445405,0.0009827079920796677,7.0076050178613515e-06,2.4567699801991695e-06,,,,9360
n_sweep,n=64,5,3110258499,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,16.4925,17.3175,11.311268972330693,2.6374997105449438e-05,0.0027529999933904037,0.0009605829982319847,6.882499983476009e-06,2.4014574955799616e-06,,,,9360
n_sweep,n=64,6,4033763120,64,128,257,2.0,,gaussian,400,400,0,1.0,0.0,7.0475,10.2775,10.69889759622159,2.5917004677467048e-05,0.0029580839909613132,0.0008804999961284921,7.3952099774032834e-06,2.20124999032123e-06,,,,9360
